type,author,content,ip,time
911,PUSH,eupa1973,正二真的有夠讚,,06/07 09:41
912,PUSH,noname78531,可憐空蛙每天喊每天崩潰 總有一天會喊到的 呵,,06/07 09:41
913,BOO,call5566me,不是吧  大哥大姐  我賣了才噴  鳩命啊,,06/07 09:41
914,PUSH,JOKIC,台股真的世界強,,06/07 09:41
915,PUSH,zackro,5907今天有點樣子？,,06/07 09:42
916,PUSH,pypy93264,1609準備漲停,,06/07 09:42
917,ARROW,AllenAline,這幾天要萬七了,,06/07 09:42
918,PUSH,jc761128,穩套要紅燈!,,06/07 09:42
919,PUSH,otsuka123,今天很堅決 很多突破型的發動,,06/07 09:42
920,ARROW,f204137,紅藍燈循環 大約8年一次 沒把握住 下次你等2030年吧,,06/07 09:42
921,PUSH,ethan0419,萬六也是很喊久才到啦,,06/07 09:42
922,ARROW,AllenAline,從相對底部上來1500點空軍好慘,,06/07 09:42
923,BOO,xiaoyao,老蘇攤平萬海又沉船。抬光電 紅燈,,06/07 09:42
924,PUSH,Whitemou,大亞快燈了,,06/07 09:42
925,PUSH,joygo,正二我已經分批賣了，沒想到真的不停，只有富邦未,,06/07 09:42
926,ARROW,joygo,來車有吃到這波哈哈,,06/07 09:42
927,PUSH,akiras,感謝FJ 昨天江宏傑已進場,,06/07 09:42
928,PUSH,guitarotaku,緯創怎麼跌破70了！ 尖叫聲～～,,06/07 09:42
929,PUSH,b23058179,哇靠技嘉！！！！,,06/07 09:42
930,PUSH,missfay,只有水手在哭泣吧,,06/07 09:42
931,PUSH,bradpete,空手哭暈55555,,06/07 09:42
932,ARROW,frankie30432,最後一棒可能是鴻海這種的吧,,06/07 09:42
933,ARROW,cheedo,重點是能不能填息啊 除息賠了價差還要扣稅,,06/07 09:42
934,ARROW,WEYNI,權值又一波QQ,,06/07 09:42
935,PUSH,zeroxod,這盤就跟房地產一樣 永遠不會跌，還在期望下殺給補?,,06/07 09:42
936,PUSH,max220,江宏捷還沒撿夠耶....,,06/07 09:42
937,ARROW,sagarain,還有空軍？,,06/07 09:42
938,ARROW,jc761128,穩套要燈燈 小傑+U,,06/07 09:42
939,BOO,mecca,沒看到多少人在空嗎?所以一直漲啊,,06/07 09:42
940,ARROW,Crushredkiss,正2抱著不賣到底怎麼輸 我賣在122 QQ,,06/07 09:42
941,PUSH,rays66258,杰哥不要..,,06/07 09:42
942,PUSH,dosiris,升息縮表不可能萬七吧 今天最後一棒了,,06/07 09:43
943,PUSH,gtaped05550,從昨天夜盤喊到現在 拉回就是買 還有人不懂嗎？,,06/07 09:43
944,ARROW,joygo,持股還在睡覺啦，好無聊,,06/07 09:43
945,ARROW,Crushredkiss,乾 133啦,,06/07 09:43
946,PUSH,simon81345,早上買131.9的正二就爽到現在了...,,06/07 09:43
947,PUSH,almanch,1603  爛透,,06/07 09:43
948,ARROW,f204137,藍燈買股就是事半功倍... 我講多久了,,06/07 09:43
949,PUSH,Eleganse,空蛙真像我岳父那群裝神弄鬼的修道玄學命理朋友們,,06/07 09:43
950,ARROW,akiras,捷哥..等他破前高還是可以加碼啊,,06/07 09:43
951,ARROW,goodjop,吻哥真的好準,,06/07 09:43
952,ARROW,baka1412,https://i.imgur.com/WPiwsE4.jpg,,06/07 09:43
953,ARROW,otsuka123,168出去就真突破了..,,06/07 09:43
954,PUSH,yannicklatte,又百點招待，漲那麼多…,,06/07 09:43
955,PUSH,apolloapollo,百點招待,,06/07 09:43
956,ARROW,lyhorcish,3078先跑一些，等營收,,06/07 09:43
957,PUSH,fxp60605,穩懋要燈了,,06/07 09:43
958,PUSH,b69,空軍好可憐 講不聽教不會,,06/07 09:43
959,PUSH,loopdiuretic,幫主不要,,06/07 09:43
960,PUSH,hungadam,億光50,,06/07 09:43
961,PUSH,huabandd,噴爛啦噴爛啦,,06/07 09:43
962,ARROW,Eleganse,整天喊自已的理論 中一次自誇半年 殊不知不準了99次,,06/07 09:43
963,PUSH,chungj,拉什麼股,,06/07 09:43
964,ARROW,guilty13,還在航運阿...台股幾千檔 扣掉一半 還是有很多選擇,,06/07 09:44
965,ARROW,joygo,萬六打了三次，突破直接噴到萬七,,06/07 09:44
966,PUSH,DrowningPool,https://i.imgur.com/4iJ8SlX.jpg 不愧是老謝,,06/07 09:44
967,PUSH,eupa1973,哲哲少賺囉，龍哥快跑路了吧,,06/07 09:44
968,PUSH,guowei616,VVV 大爆V 6月萬7 7月萬8 年底2萬 台股亞洲第一強,,06/07 09:44
969,PUSH,JOKIC,今天看來又是垃圾變黃金的奇蹟日,,06/07 09:44
970,PUSH,AllenAline,說不訂今天就要萬七了  這氣勢非常猛 好爽,,06/07 09:44
971,PUSH,dnaangel,正二粗暴又簡單,,06/07 09:44
972,PUSH,pypy93264,台股得了只會漲的病 有夠不健康,,06/07 09:44
973,ARROW,louise13,假水手才會考慮價差扣稅，真水手只剩攤平了,,06/07 09:44
974,BOO,kopp8899,國泰證券是不是壞了 …@@,,06/07 09:44
975,ARROW,mecca,雞雞在手  點數我有  搞搞結算撈一票,,06/07 09:44
976,BOO,xiaoyao,老書 萬海 玉米 攤平再套牢,,06/07 09:44
977,PUSH,YU1225,Led類股輪動了！噴,,06/07 09:44
978,PUSH,zeroxod,要空也不是現在空，現在就QQQQQE噴爆,,06/07 09:44
979,ARROW,AllenAline,一路向北,,06/07 09:44
980,ARROW,goodjop,很多人不甘心~,,06/07 09:44
981,BOO,call5566me,鳩命啊  油這麼便宜  家95好嗎   家92幹嘛,,06/07 09:44
982,PUSH,ntpukid,和潤報酬率60% 好舒服 未來看100%應該不難,,06/07 09:44
983,PUSH,pqpqpqpq,現在股版人人手上都有正二嗎？,,06/07 09:44
984,ARROW,kilik0960,聯詠這波可以挑戰前高464了,,06/07 09:44
985,PUSH,ethan0419,主力完全控制的盤就是這樣,,06/07 09:45
986,PUSH,bettercallh,GG給空軍最後一擊,,06/07 09:45
987,PUSH,kducky,正2真的拯救我這個股海韭菜QQ,,06/07 09:45
988,PUSH,king5410,江宏捷很想上車可惡,,06/07 09:45
989,PUSH,herrowui,都不能讓空軍賺點錢嗎？:p,,06/07 09:45
990,PUSH,GoGoD,記住我ID，直接換新車https://i.imgur.com/JKaRyNX.,,06/07 09:45
991,ARROW,GoGoD,jpg,,06/07 09:45
992,ARROW,eupa1973,有跟到33哥的人多嗎？,,06/07 09:45
993,ARROW,zeroxod,機會每天都有啦 幹嘛只拚一天?,,06/07 09:45
994,BOO,Crushredkiss,天啊 少賺真的要人命啊,,06/07 09:45
995,BOO,tzjjkonuj,https://i.imgur.com/m4BF763.jpg 三陽不太行,,06/07 09:45
996,PUSH,ak007,台勝科放個消息 開超低 收籌碼 然後一路拉 很會喔,,06/07 09:45
997,PUSH,panjanhon,不回檔怎麼買正二,,06/07 09:45
998,ARROW,goodjop,我沒有+2 我只有GG,,06/07 09:45
999,PUSH,dosiris,對喔  能夠空正二嗎,,06/07 09:45
1000,ARROW,VanDie,國泰證券app壞了+1,,06/07 09:45
1001,ARROW,romenticpoet,https://i.imgur.com/WkN8z6k.jpg,,06/07 09:45
1002,PUSH,lepidoptera,0050過對折的賣點了…,,06/07 09:45
1003,BOO,duncan0319,記住叫你藍燈別買股的6丁。,,06/07 09:45
1004,PUSH,BLUESKY101,我啊,,06/07 09:45
1005,PUSH,O10lOl01O,https://i.imgur.com/YiEG5y6.png鳳凰清掉 加滷蛋囉,,06/07 09:45
1006,ARROW,joygo,不看了感覺沒我的事今天，下一波殺盤再來多撿正二,,06/07 09:45
1007,PUSH,clamperni,昨天阿呆谷啦,,06/07 09:45
1008,ARROW,asjh612,今天要拉萬七結算？,,06/07 09:45
1009,BOO,vncss,老輸台光電開吹,,06/07 09:45
1010,BOO,oplk,00927猛耶  買了喇！,,06/07 09:45
1011,ARROW,hight0505,3105怎麼這麼突然,,06/07 09:45
1012,ARROW,mecca,國泰這麼常壞還有人在用啊???,,06/07 09:45
1013,PUSH,a6842684,fj的鞋子好強,,06/07 09:45
1014,ARROW,GoGoD,https://i.imgur.com/F0sar09.jpg,,06/07 09:45
1015,BOO,ginger,GG微勃,,06/07 09:45
1016,PUSH,Shizuku,我的存股正二+35%了 好想停利喔,,06/07 09:45
1017,PUSH,Buddy,好樂迪 100了!!!,,06/07 09:45
1018,ARROW,godd159,金廉買大亞,,06/07 09:45
1019,PUSH,kenet123,到處噴,,06/07 09:45
1020,ARROW,joygo,，上次實驗成功，下次加倍買,,06/07 09:45
1021,PUSH,cloud7515,賺到會怕,,06/07 09:45
1022,PUSH,zesonpso,連上漲創近高 咖啡廳都可以人走茶涼,,06/07 09:45
1023,PUSH,pipi2,8401怎麼勃起，最近很多人印喜帖？,,06/07 09:45
1024,PUSH,st800800800,我爸每天看A大，退休金全歐印鴻海，忠實信徒,,06/07 09:45
1025,PUSH,cheedo,講航運的通常都是凹單到已經對半砍了還不放手的那,,06/07 09:45
1026,ARROW,blue1204,我國泰也壞了，換台銀= =,,06/07 09:46
1027,PUSH,kmshy,大亂噴數錢盤 多軍沒人賠錢吧,,06/07 09:46
1028,ARROW,goodjop,法人現在 才要買GG,,06/07 09:46
1029,PUSH,murders1129,好樂迪好扯,,06/07 09:46
1030,ARROW,xiaoyao,Sym 昨天 今天 走勢 XD,,06/07 09:46
1031,ARROW,baka1412,https://i.imgur.com/9gVGJ8t.jpg,,06/07 09:46
1032,PUSH,simon81345,我從入市到現在沒有體會到牛市過QQ,,06/07 09:46
1033,PUSH,DDDDRR,三陽人踩人直播,,06/07 09:46
1034,ARROW,manamerj,要開嘎了嗎？...,,06/07 09:46
1035,ARROW,kisweet999,GG 去測一下 574 R~~~,,06/07 09:46
1036,ARROW,zeroxod,還在等回檔買?直接進場追就對了,,06/07 09:46
1037,PUSH,guowei616,正2遲早500 買進無腦多 睡覺數錢 這麼簡單都不會,,06/07 09:46
1038,BOO,npc776,(╮′ 皿`)<不 為啥又是大奶,,06/07 09:46
1039,PUSH,hunteryoyoyo,科技股獨秀，傳慘還在喘,,06/07 09:46
1040,ARROW,eupa1973,看絲瓜，龍哥的真的會嘔死,,06/07 09:46
1041,PUSH,cruel3535,康舒要誘空ㄇ,,06/07 09:46
1042,ARROW,dosiris,現在空正二 正對時,,06/07 09:46
1043,PUSH,someo,老蘇 看別人賺錢,,06/07 09:46
1044,PUSH,f204137,十年線+業績成長 老神在在的賺 讓自己舒服最重要啊,,06/07 09:46
1045,PUSH,ben192726,沒買台燿跟傑哥，今天看他們飛天,,06/07 09:46
1046,PUSH,frankie30432,6153 數字不差 但是好像轉不了EPS,,06/07 09:46
1047,ARROW,romenticpoet,竟然沒有RAV4 都被CC搶走了,,06/07 09:46
1048,BOO,photoless,我就笑 還在上班的人,,06/07 09:46
1049,ARROW,O10lOl01O,緯創果然70就差不多了 軟啪啪阿...,,06/07 09:46
1050,BOO,kopp8899,想停利  國泰證券直接當機  無言,,06/07 09:46
1051,ARROW,npc776,(╮′ 皿`)<萬七天花板啦 天花板!,,06/07 09:46
1052,PUSH,YU1225,A大前天有分享長榮他的看法 好文,,06/07 09:46
1053,PUSH,iiqwer,大家紅通通 海運綠油油 看了好不忍,,06/07 09:47
1054,PUSH,Heyer,穩懋太神啦,,06/07 09:47
1055,PUSH,ImCPM,螃蟹吉發哥,,06/07 09:47
1056,PUSH,k1222,龍鴿又見證地獄了嗎,,06/07 09:47
1057,ARROW,frankie30432,好處就是位階低 大股東成本28 有題材,,06/07 09:47
1058,PUSH,sayforever69,宜特準備噴噴,,06/07 09:47
1059,PUSH,Eleganse,阿娘為 持股20多檔全紅 明明大盤漲不多啊,,06/07 09:47
1060,PUSH,Guan63941,OTC還在噴,,06/07 09:47
1061,ARROW,goodjop,上班錯了嗎?~~~,,06/07 09:47
1062,PUSH,JJooni,棄嬰幹嘛,,06/07 09:47
1063,ARROW,bearss,緯創準備開平走低...,,06/07 09:47
1064,PUSH,v7q4,最近都不敢抱太久 漲了一些就賣 然後就看著它再漲,,06/07 09:47
1065,PUSH,m791017,今天就要萬7？,,06/07 09:47
1066,ARROW,kmshy,上班實在放給它漲 大家都有得噴也不用來喊盤了 中午,,06/07 09:47
1067,ARROW,guilty13,8401這個不要等了 除完息籌碼都跑了,,06/07 09:47
1068,PUSH,akiras,杰哥等他帶量破前高壓力..還是可以買啦,,06/07 09:47
1069,PUSH,Kyushu1012,雄獅可以硬一點嗎,,06/07 09:47
1070,ARROW,kmshy,在來撿屍,,06/07 09:47
1071,ARROW,dosiris,台股近萬七 你的持股有賺錢嗎 沒有嘛,,06/07 09:47
1072,PUSH,danhunter,誰賠錢？,,06/07 09:48
1073,PUSH,a052612565,快被空蛙空到萬七去惹,,06/07 09:48
1074,ARROW,goodjop,還差150點有點遠,,06/07 09:48
1075,PUSH,Kappa,正2可以不要再漲了嗎 這樣我怎麼買,,06/07 09:48
1076,PUSH,s56565566123,山陽工業,,06/07 09:48
1077,PUSH,yumin88889,還有憨空AA叫嗎？,,06/07 09:48
1078,PUSH,cheedo,種三陽今天會多空雙巴 短線要注意,,06/07 09:48
1079,ARROW,iucj2457,壓不住,,06/07 09:48
1080,ARROW,f204137,MoM66% 黏在十年線附近 不就是常講的第2類,,06/07 09:48
1081,PUSH,zeroxod,這波看日本，都創30年新高 台股2萬不過分吧?,,06/07 09:48
1082,PUSH,Buddy,緯創最近的融資根本就洗碗融資 超沒力 等著被抬出場,,06/07 09:48
1083,BOO,mecca,台股近萬七 我的持股有賺啊,,06/07 09:48
1084,PUSH,nick89431801,萬七真的輕鬆過,,06/07 09:48
1085,PUSH,cruel3535,康舒一直在死撐ㄟ,,06/07 09:48
1086,PUSH,dethes,請問多空雙巴是什麼意思？,,06/07 09:48
1087,ARROW,frankie30432,6153也是連兩個月成長 可是那個財報很難預測,,06/07 09:48
1088,PUSH,YU1225,蘋概股 穩懋 台光電都快漲停了 台郡之後一定會拉,,06/07 09:48
1089,PUSH,qw5980162,當初買的16900點超級大可,,06/07 09:49
1090,ARROW,npc776,(╮′ 皿`)<馬的存骨+90%了 真的很難抱....,,06/07 09:49
1091,PUSH,jc761128,8086噴!!!,,06/07 09:49
1092,ARROW,goodjop,就是你的臉被巴兩次,,06/07 09:49
1093,BOO,xperiaxa,哈哈笑爽啦,,06/07 09:49
1094,ARROW,RTX3080TI,https://i.imgur.com/7ZEIUfg.jpg,,06/07 09:49
1095,ARROW,YU1225,台郡這價位安啦,,06/07 09:49
1096,ARROW,zeroxod,就說美國QQQQQQQE一直印鈔一直爽爽爽爽爽,,06/07 09:49
1097,ARROW,frankie30432,當然要炒作就是炒到財報開跑走就不用管了,,06/07 09:49
1098,PUSH,cloud7515,去玩美股就懂,,06/07 09:49
1099,PUSH,linedrive,緯創這種沒基本面的東西 空爆就對了,,06/07 09:49
1100,ARROW,f204137,敦泰也差不多 大哥聯詠營收已公佈 5月若不差也會動,,06/07 09:49
1101,PUSH,hbk4ever,挖靠 捷哥今天是怎樣 前妻都回來了是嗎,,06/07 09:49
1102,PUSH,mopa,漲到17000了，才賺一點點錢，飆股選不到抱不住..,,06/07 09:49
1103,PUSH,VVVV5555,步驚雲太扯了 內線是又看到什麼了,,06/07 09:49
1104,PUSH,weiyumystery,真的羨慕憨空 幾個禮拜就能從萬五空到萬七,,06/07 09:49
1105,PUSH,post91,有正2我以為是基本耶,,06/07 09:50
1106,PUSH,ForeverZARD,阿昨天不是有說菁英空軍  整天菁英空軍 馬後炮,,06/07 09:50
1107,ARROW,f204137,8086 3545 兩家類似之處很多... 用心觀察吧,,06/07 09:50
1108,PUSH,O10lOl01O,緯創484大家都在跳船了阿,,06/07 09:50
1109,PUSH,loat,好樂迪要亮燈啦,,06/07 09:50
1110,PUSH,DDDDRR,必應..,,06/07 09:50
1111,PUSH,a6435966,好樂迪要漲停了,,06/07 09:50
1112,ARROW,qw5980162,十年線加業績成長 總比追高受不了砍低好,,06/07 09:50
1113,BOO,Crushredkiss,現在都只買正2了..,,06/07 09:50
1114,PUSH,a052612565,這兩個月C莊真慘，一路被撞爛,,06/07 09:50
1115,PUSH,fakelie,臉被巴兩次聽起來好痛,,06/07 09:50
1116,ARROW,frankie30432,8086大股東賺錢 3545大股東慘套 差在這邊,,06/07 09:50
1117,PUSH,romenticpoet,現在還有人去好樂迪唱歌？,,06/07 09:50
1118,ARROW,f204137,位階十年線附近 業績回升 沒那麼難判斷的,,06/07 09:50
1119,ARROW,mopa,正2也抱不住阿，80買100就出了,,06/07 09:50
1120,ARROW,bearss,緯創現在上船也太韭了吧...,,06/07 09:50
1121,PUSH,a70327cow,壽險雙雷死去,,06/07 09:51
1122,ARROW,brain9453,買可樂的人賺爛了,,06/07 09:51
1123,PUSH,Mradult,沒量在硬拉，有夠不健康,,06/07 09:51
1124,ARROW,blue1204,緯創等營收出來就知道是真是假惹,,06/07 09:51
1125,BOO,duncan0319,今天是群魔亂舞嗎？隨便買都噴,,06/07 09:51
1126,ARROW,VVVV5555,我都去享溫馨 他的牛肉麵超好吃肉超大,,06/07 09:51
1127,PUSH,dosiris,下來了 下來了 10點賣壓,,06/07 09:51
1128,PUSH,answerone,鼓起勇氣買了133的正二，我是不是可以每天數錢了,,06/07 09:51
1129,PUSH,b23058179,技嘉要飛去哪,,06/07 09:51
1130,PUSH,A816,微星真的太廢了吧,,06/07 09:51
1131,PUSH,Lionvjm95,穩套燈,,06/07 09:51
1132,ARROW,O10lOl01O,緯創掛70.2趕快賣一賣 打平就好 鳳凰賺夠了,,06/07 09:51
1133,PUSH,swanc,穩套瘋了！,,06/07 09:51
1134,PUSH,bear0816296,穩套亮燈燈燈燈燈,,06/07 09:51
1135,ARROW,frankie30432,給我選還是覺得8086>3545 3545同掛的有其他好的,,06/07 09:51
1136,PUSH,fujioqq,PA突然漲起來不太意外 但是也漲太多XD,,06/07 09:51
1137,PUSH,natyshow,和潤默默創新高,,06/07 09:51
1138,ARROW,goodjop,很痛的領悟,,06/07 09:51
1139,PUSH,ethan0419,起漲前還真有人買了一堆可樂,,06/07 09:52
1140,PUSH,pypy93264,享溫馨...是想叫傳播比較快吧XD,,06/07 09:52
1141,PUSH,frank0810,gu大 詠昇這位子有興趣嗎,,06/07 09:52
1142,PUSH,tigerzz3,低位階的PA熊不看 去追飛高高的幹嘛,,06/07 09:52
1143,PUSH,ForeverZARD,股價會跌也是菁英多蛙賣掉  整天菁英空軍  了然,,06/07 09:52
1144,ARROW,zeroxod,量縮價漲不是正常嗎?,,06/07 09:52
1145,ARROW,cloud7515,133的正2真有勇氣,,06/07 09:52
1146,PUSH,ntpukid,可是FJ大家內心還是有心魔 景氣還沒復甦 而不敢買,,06/07 09:52
1147,PUSH,alex5566,瘋狗盤~射飛標隨便買都賺,,06/07 09:52
1148,BOO,Crushredkiss,昨天有個說買穩套沒漲的 今天馬上漲停..,,06/07 09:52
1149,ARROW,dosiris,很多支都在硬拉 怎麼可能撐的久,,06/07 09:52
1150,ARROW,eupa1973,可憐空蛙應該是還在做地獄快來了的夢,,06/07 09:52
1151,PUSH,clamperni,昨天阿呆谷啦 爽,,06/07 09:52
1152,PUSH,akiras,杰哥在出量了..,,06/07 09:52
1153,ARROW,guilty13,哈哈哈  你這一檔 A08跟我都在看 他已經買了,,06/07 09:52
1154,PUSH,cheedo,就是當你以為漲進場結果倒爛 反手看空又拉起來讓你,,06/07 09:52
1155,PUSH,eric02,大亞要下去了 全廉威能,,06/07 09:52
1156,PUSH,pttstock,量縮價漲 惜售拉!!,,06/07 09:52
1157,PUSH,qw5980162,會不敢買的都是在追高的好嗎..,,06/07 09:52
1158,ARROW,romenticpoet,https://i.imgur.com/Q7e5MSh.jpg,,06/07 09:52
1159,PUSH,dethes,三陽這種震盪是怎麼回事？,,06/07 09:52
1160,ARROW,blue1204,感覺世芯早盤跑太快惹QAQ,,06/07 09:52
1161,PUSH,jc761128,PA感謝 FJ,,06/07 09:52
1162,BOO,call5566me,啾啾我啊  快噴,,06/07 09:52
1163,PUSH,louis2323,唱歌唱起來,,06/07 09:52
1164,ARROW,akiras,杰哥今天想攻過前高嗎?,,06/07 09:53
1165,PUSH,HappyGoodDay,中環在噴什麼 打不贏就加入 隨便買 隨便賺,,06/07 09:53
1166,ARROW,kilik0960,星通加油,,06/07 09:53
1167,PUSH,f204137,藍燈賺錢是事半功倍... 紅燈氣氛 你還不想離場呢,,06/07 09:53
1168,PUSH,dcba321,週五萬七？,,06/07 09:53
1169,ARROW,TANEKI,8011是要不要上去啦~~~~(吶喊,,06/07 09:53
1170,ARROW,answerone,133不買，難道你要等233嗎？早點買早點數錢,,06/07 09:53
1171,PUSH,bleach06bb,凱北哥屯了不少5234,,06/07 09:53
1172,PUSH,JIWP,FJ請教2439，他營收月增年增幾個月，這樣是第二類？,,06/07 09:53
1173,PUSH,mopa,現在輪漲很快,,06/07 09:53
1174,PUSH,brain9453,台光電怎麼漲停了！,,06/07 09:53
1175,ARROW,call5566me,遊戲布拉一下嗎  冤魂還沒出完欸,,06/07 09:53
1176,ARROW,Crushredkiss,慘痛經驗 買正2就不要賣了QQ,,06/07 09:53
1177,ARROW,f204137,都是經驗談 2年前三船 散戶萬歲衝鋒時候 自己回想,,06/07 09:54
1178,PUSH,noname78531,小空蛙 以為上了跳水台  結果跳不下來 哈哈哈,,06/07 09:54
1179,PUSH,yumin88889,憨空出來叫幾聲,,06/07 09:54
1180,PUSH,haski,6515 嚇甩磨？,,06/07 09:54
1181,PUSH,RanceTsai,技嘉交戰中,,06/07 09:54
1182,PUSH,zse24,旅遊到底哪時候要崩阿？？天天嘎漲停,,06/07 09:54
1183,ARROW,goodjop,可以賣 但你要講一下你賣了,,06/07 09:54
1184,ARROW,guilty13,那一檔的大戶有進場 然後一些假外資試著點火,,06/07 09:54
1185,ARROW,mopa,正二 100賣掉，買不回來一直噴不回頭,,06/07 09:54
1186,PUSH,JJooni,4979死不了內,,06/07 09:54
1187,PUSH,xxxg00w0,看來1609真有機會40...前天盤前設定5%賣掉扼腕 O_Q,,06/07 09:54
1188,ARROW,Crushredkiss,賣在122 現在133 直接少了幾十萬T皿T 崩潰,,06/07 09:54
1189,PUSH,frankie30432,6438也是秒填息 算厲害的,,06/07 09:54
1190,ARROW,ikariamman,阿文營收增加那麼多都沒反應,,06/07 09:54
1191,PUSH,zeroxod,旅遊現在正夯不會崩......,,06/07 09:54
1192,PUSH,ibetitisnot,正2賣了就買不回來了 相信我,,06/07 09:55
1193,PUSH,kai2573,嘎到萬7 我就賣正2  100股！,,06/07 09:55
1194,ARROW,goodjop,你不是前天買回來了...,,06/07 09:55
1195,ARROW,call5566me,哪有漲停  看看垃圾雄獅,,06/07 09:55
1196,PUSH,kiriru,3346洗完發車？,,06/07 09:55
1197,ARROW,Crushredkiss,更蠢的是我129追回來 又賣掉了 RRR,,06/07 09:55
1198,PUSH,Nick0907,6274衝啊爽啊,,06/07 09:55
1199,BOO,yoteame,天亮請數錢  https://i.imgur.com/Gd5HcHg.png,,06/07 09:55
1200,ARROW,goodjop,乾 好恐怖,,06/07 09:55
1201,PUSH,st06666,太晚參透江宏傑是哪檔 沒跟到QQ,,06/07 09:55
1202,PUSH,windblood,這周有機會W7?全面樂觀中...@@,,06/07 09:55
1203,ARROW,appledick,類股輪漲格局 資金一下就爆灌 景氣復甦了,,06/07 09:55
1204,PUSH,iceman321,元太哭了,,06/07 09:55
1205,ARROW,yoteame,跟著我無腦多就對了 賺錢就是這麼簡單,,06/07 09:55
1206,BOO,YesNoter,好強,,06/07 09:55
1207,ARROW,goodjop,吻哥 我服你了 記得每天把操作說出來,,06/07 09:56
1208,ARROW,mopa,追高成本太高抱不住,,06/07 09:56
1209,PUSH,pttstock,大家都沒緯創 剩下878套在上面?,,06/07 09:56
1210,PUSH,ap99,一直噴一直噴。會不會死掉RRRRRR,,06/07 09:56
1211,PUSH,O10lOl01O,出門買飯= =,,06/07 09:56
1212,PUSH,tanchuchan,技嘉太早賣 好想哭,,06/07 09:56
1213,BOO,oplk,歐印技+  薯條+da!,,06/07 09:56
1214,PUSH,lkm1525,持股像死魚 還跌 幹,,06/07 09:56
1215,PUSH,WADE0616,我的辛耘 還沒買夠................,,06/07 09:56
1216,ARROW,leoyuan,緯創等五月財報出來就見真章了,,06/07 09:56
1217,PUSH,qaz2361,正2買了就放著，除非轉弱跌破20週，其他時間不動,,06/07 09:56
1218,PUSH,ak007,我大技嘉天下無敵～^_^,,06/07 09:57
1219,PUSH,siriuslee,緯創殺好快,,06/07 09:57
1220,ARROW,goodjop,吻哥 期貨空單要繼續凹到贏喔,,06/07 09:57
1221,ARROW,mopa,878也是一直噴噎,,06/07 09:57
1222,ARROW,blue1204,昨天誰3046被騙出場的！！,,06/07 09:57
1223,PUSH,l1ll,你可以買波若威,,06/07 09:57
1224,ARROW,iceman321,板卡顯卡一起燒,,06/07 09:57
1225,PUSH,TP62842UL3,緯創出貨 空起來,,06/07 09:57
1226,PUSH,pearlQQ,噴到最後會不會陽痿,,06/07 09:57
1227,PUSH,bleach06bb,3693主力控線真漂亮,,06/07 09:57
1228,ARROW,baka1412,https://i.imgur.com/CdnCE3o.jpg,,06/07 09:57
1229,ARROW,needtaidu,江宏傑沒有跟到+1  QQ,,06/07 09:57
1230,ARROW,tinybunny,恐怖的點在哪?,,06/07 09:57
1231,PUSH,j6569642,龍哥老哥…技嘉怎麼辦,,06/07 09:58
1232,PUSH,herrowui,上班很好啊！有現金流,,06/07 09:58
1233,PUSH,pttstock,緯創也不要亂空 小心878的威力 :),,06/07 09:58
1234,PUSH,game36919,日經空,,06/07 09:58
1235,BOO,call5566me,要a了嗎  塊陶阿,,06/07 09:58
1236,BOO,momo5426mo,噴噴往下噴https://i.imgur.com/zNVDTsH.jpg,,06/07 09:58
1237,PUSH,clamperni,抓穩啦,,06/07 09:58
1238,BOO,Crushredkiss,@goodjop 你怎那麼開心,,06/07 09:58
1239,PUSH,vodkalime607,SWKS概念股 穩套 今天衝出第1支,,06/07 09:58
1240,PUSH,zeroxod,我覺得很多人以為炒股致富，沒本金沒上班怎麼炒?,,06/07 09:58
1241,ARROW,manamerj,請支援輸贏..,,06/07 09:58
1242,BOO,zaqqaz,VVVVVVVVVVVVVVVVVVVVVVV,,06/07 09:59
1243,PUSH,b23058179,技嘉太豪洨了啦,,06/07 09:59
1244,ARROW,blue1204,中砂真的爛到掉渣耶,,06/07 09:59
1245,ARROW,warren1024,江宏傑前幾天想買但沒錢了QQ,,06/07 09:59
1246,PUSH,corner3500,今天怪怪的,,06/07 09:59
1247,ARROW,goodjop,我哪有0.0 我是擔心你,,06/07 09:59
1248,PUSH,SHPKHHU,99猩猩,,06/07 09:59
1249,PUSH,icespring,緯創 國泰不賣我不賣,,06/07 09:59
1250,PUSH,ggbc,緯創隨便空 隨便賺,,06/07 09:59
1251,PUSH,apilove,技嘉被黑後果然一路高歌,,06/07 09:59
1252,PUSH,zang811001,鳳凰886,,06/07 09:59
1253,PUSH,fbtm,持股五月財報很好也是跌啊，不如只賺0.06,,06/07 09:59
1254,PUSH,zesonpso,空軍應該都死到 剩 紅眼族了,,06/07 09:59
1255,PUSH,topfree,詠昇是拚負轉正吧 不然這型我還想觀望一下..,,06/07 09:59
1256,ARROW,zeroxod,如果不是什麼富二代富三代，就不要說幹話了,,06/07 09:59
1257,ARROW,Crushredkiss,下次我會再通知你的 記得跟上,,06/07 09:59
1258,PUSH,ak007,獻祭載版 壯我板卡,,06/07 09:59
1259,ARROW,ck326,今天怪怪的,,06/07 09:59
1260,PUSH,s155260,緯創噴了快100% 有人7字頭追變恐怖情人？,,06/07 09:59
1261,ARROW,goodjop,OK~ 我等你摳訊,,06/07 09:59
1262,PUSH,a70327cow,看來國泰45.5那根量壓力是站不穩,,06/07 10:00
1263,ARROW,clamperni,設備都漲一段了還在噴 99京鼎,,06/07 10:00
